easting0 [km], northing0 [km], easting1 [km], northing1 [km]
2.4649158e+02, 5.8270733e+02, 2.5047928e+02, 5.8243521e+02
2.6175449e+02, 5.8223252e+02, 2.6138817e+02, 5.7969284e+02
2.4301155e+02, 5.7749170e+02, 2.4411205e+02, 5.7569958e+02
2.5313490e+02, 5.8990622e+02, 2.5657190e+02, 5.8700177e+02
2.4329817e+02, 5.8397457e+02, 2.4541236e+02, 5.7378803e+02
2.5308258e+02, 5.9594526e+02, 2.5960661e+02, 5.8851933e+02
2.6007240e+02, 6.0365708e+02, 2.6289817e+02, 6.0426391e+02
2.4357813e+02, 5.6995684e+02, 2.4559427e+02, 5.7016118e+02
2.4323925e+02, 6.1546194e+02, 2.4318683e+02, 6.1300737e+02
2.6528998e+02, 5.8568672e+02, 2.6628895e+02, 5.7848354e+02
2.6083373e+02, 5.9515852e+02, 2.6094893e+02, 5.9252482e+02
2.6624039e+02, 5.6895828e+02, 2.6705467e+02, 5.6557345e+02
2.6255573e+02, 5.7890694e+02, 2.6579957e+02, 5.7913589e+02
2.3383530e+02, 5.9469156e+02, 2.3478439e+02, 5.9236507e+02
2.3648443e+02, 5.8933772e+02, 2.3813768e+02, 5.8820944e+02
2.5219285e+02, 5.8884198e+02, 2.5269721e+02, 5.8599050e+02
2.4814195e+02, 5.9749344e+02, 2.5159697e+02, 5.9424914e+02
2.5077940e+02, 5.7473882e+02, 2.5414104e+02, 5.7499400e+02
2.4823129e+02, 5.7314225e+02, 2.4822507e+02, 5.6941864e+02
2.5902577e+02, 5.9875659e+02, 2.6186477e+02, 5.9881110e+02
2.3457083e+02, 5.8953445e+02, 2.3796886e+02, 5.8488204e+02
2.2986200e+02, 6.0931167e+02, 2.3268161e+02, 6.0344573e+02
2.5457957e+02, 6.0082657e+02, 2.5671724e+02, 5.9984388e+02
2.5377122e+02, 5.8121693e+02, 2.5401875e+02, 5.7907164e+02
2.6492039e+02, 5.7407161e+02, 2.6546344e+02, 5.7883672e+02
2.5210134e+02, 6.1435501e+02, 2.6543982e+02, 5.9699066e+02
2.4284257e+02, 6.0182864e+02, 2.4664415e+02, 5.9494673e+02
